Award Date,Transaction,Award ID,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount ($),Award Type,Awarding Agency,Awarding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
2013-10-01,885989FF-4A81-52C0-1C60-6E4B21B2B411,JUSFC1412,9214214,Stanford University,STANFORD,CA,14,USA,CA,14,USA,125000.0,Grants,Japan-U.S. Friendship Commission,Japan-U.S. Friendship Commission,90.3,Japan-U.S. Friendship Commission Grants,2014,Prime
2013-10-09,D023EE33-4313-AA17-F4A2-82C85A183BB0,W911NF1410001,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,150000.0,Grants,Department of Defense,Department of Defense,12.431,Basic Scientific Research,2014,Prime
2013-10-22,95A7A952-747B-A4BC-ADFF-A86AF466F4D3,FA87501420006,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,201512.0,Grants,Department of Defense,Department of Defense,12.3,Basic and Applied Scientific Research,2014,Prime
2013-10-22,7C4AF456-0F54-0C1C-416E-A169E5D9A372,N000141010291,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,209066.0,Grants,Department of Defense,Department of Defense,12.3,Basic and Applied Scientific Research,2014,Prime
2013-10-30,6ED065F0-3B47-49F7-A3B0-F7D48D4F770D,M177250,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,22429.0,Others,Department of Health and Human Services,Centers for Medicare & Medicaid Services,93.61,Health Care Innovation Awards (HCIA),2014,Sub
2013-10-31,CFAC6A42-878F-4467-06D1-8814877173F5,DEAR0000331,124726725,UC Berkeley,BERKELEY,CA,9,USA,CA,09,USA,131900.0,Grants,Department of Energy,Department of Energy,81.135,Advanced Research Projects Agency - Energy,2014,Prime
2013-10-31,77EBC862-5409-0952-BE6C-0CD28D454A6B,NNX11AI41A,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,85940.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001999999999995,Aeronautics,2014,Prime
2013-10-31,E667A933-8A55-4D5E-243E-9D07C7A931A5,DEAR0000331,124726725,UC Berkeley,BERKELEY,CA,9,USA,CA,13,USA,131900.0,Grants,Department of Energy,Department of Energy,81.135,Advanced Research Projects Agency - Energy,2014,Prime
2013-10-31,9ECFFECB-9C14-8EC7-4289-3E783C9BA764,NNX09AE13G,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,18.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-01,B68AE5B8-5DB0-B80E-0B6A-548CDB77618E,NNX12AE26G,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,97857.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-04,99EFC869-E0D1-790F-9196-F52BA2C3586E,NNX11AI60A,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,83443.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001999999999995,Aeronautics,2014,Prime
2013-11-04,5EC3CF64-3E69-7E42-4585-0172C986754A,NNX13AC47G,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,113451.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-05,8B4A06E3-F54A-B378-7258-805C38D7DE4F,W81XWH1410014,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,157959.0,Grants,Department of Defense,Department of Defense,12.42,Military Medical Research and Development,2014,Prime
2013-11-05,C453900C-3CBB-D3BD-9552-156C6F36EFE4,1347565,9214214,Stanford University,PALO ALTO,CA,18,USA,CA,18,USA,59891.0,Grants,National Science Foundation,National Science Foundation,47.041000000000004,Engineering Grants,2014,Prime
2013-11-06,43A5A36A-067B-72D9-F770-3EFE8CDC5214,NNX11AH18G,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,542.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-06,6038F396-6FD7-431E-00E1-C4353CE43679,NAG26067,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,916.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-06,49FB088C-DE6F-C426-CB83-EED2282113C4,1332686,9214214,Stanford University,PALO ALTO,CA,18,USA,CA,18,USA,23614.0,Grants,National Science Foundation,National Science Foundation,47.07,Computer and Information Science and Engineering,2014,Prime
2013-11-07,70962D90-9255-2759-67A6-BDD480FD609B,R01AI017892,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,356400.0,Grants,Department of Health and Human Services,National Institutes of Health,93.855,"Allergy, Immunology and Transplantation Research",2014,Prime
2013-11-07,853737CD-103A-6C69-B832-2C60927DB2E5,1351981,9214214,Stanford University,PALO ALTO,CA,18,USA,CA,18,USA,400059.0,Grants,National Science Foundation,National Science Foundation,47.041000000000004,Engineering Grants,2014,Prime
2013-11-08,E25ED500-486D-7D34-B9B2-3E0CFEF1D96E,DENA0000979,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,09,USA,2500000.0,Grants,Department of Energy,Department of Energy,81.113,Defense Nuclear Nonproliferation Research,2014,Prime
2013-11-08,4E33251D-2992-92AD-570A-2804C3B9A530,1357690,9214214,Stanford University,PALO ALTO,CA,18,USA,CA,18,USA,15000.0,Grants,National Science Foundation,National Science Foundation,47.049,Mathematical and Physical Sciences,2014,Prime
2013-11-08,2A714CDC-D657-8FD8-2DA1-D78FF7C24AFA,1316706,9214214,Stanford University,PALO ALTO,CA,18,USA,CA,18,USA,40000.0,Grants,National Science Foundation,National Science Foundation,47.049,Mathematical and Physical Sciences,2014,Prime
2013-11-08,6BAA10A8-80DC-2A42-ECCD-1BCD453900B3,DENA0000979,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,2500000.0,Grants,Department of Energy,Department of Energy,81.113,Defense Nuclear Nonproliferation Research,2014,Prime
2013-11-11,1ED22837-9357-14D4-2D5E-67555F65C91B,R01MH103116,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,7006.0,Grants,Department of Health and Human Services,National Institutes of Health,93.242,Mental Health Research Grants,2014,Prime
2013-11-12,E20C25C8-167A-4716-80F9-4629D99F9AC3,N000141110140,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,26541.0,Grants,Department of Defense,Department of Defense,12.3,Basic and Applied Scientific Research,2014,Prime
2013-11-12,06287473-5945-9B02-89A1-BE84DFAEB671,NNX12AO17A,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,1.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.00899999999999,Cross Agency Support,2014,Prime
2013-11-12,093C62B3-5275-AB59-3FCC-87DB45212198,1407834,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,306276.0,Grants,National Science Foundation,National Science Foundation,47.07,Computer and Information Science and Engineering,2014,Prime
2013-11-12,2C9C5496-A205-FE51-F22D-D301C7ED28FB,N000141210609,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,106947.0,Grants,Department of Defense,Department of Defense,12.3,Basic and Applied Scientific Research,2014,Prime
2013-11-12,D71D0F95-DB79-6B4F-8AA7-D1E779C471EB,N000141310150,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,43566.0,Grants,Department of Defense,Department of Defense,12.3,Basic and Applied Scientific Research,2014,Prime
2013-11-13,C1108B3B-7B75-E084-7E1A-E496A963CC21,NNX07AK70G,124726725,UC Berkeley,BERKELEY,CA,9,USA,CA,13,USA,18.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-13,E357F0B2-5283-6BB2-B482-2BC5BC92F9EC,NNX12AB79G,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,168483.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-13,385DF760-F50F-80D5-F36C-B349CCABE40A,1243360,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,319084.0,Grants,National Science Foundation,National Science Foundation,47.074,Biological Sciences,2014,Prime
2013-11-13,EFFE32F2-4AB4-BA84-D272-601581D23F1A,NNX10AQ31G,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,2.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-13,5CBCB62A-5630-BD4B-A582-5A4826F71742,2013G015,9214214,Stanford University,STANFORD,CA,14,USA,CA,14,USA,100000.0,Grants,Department of Transportation,Federal Aviation Administration,20.108,Aviation Research Grants,2014,Prime
2013-11-13,C0D19D59-071D-282B-2378-07004ED7739B,NNX10AE01G,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,13,USA,140.0,Grants,National Aeronautics and Space Administration,National Aeronautics and Space Administration,43.001000000000005,Science,2014,Prime
2013-11-14,35DDDE8A-0026-7254-1769-6B38E2516A47,DEEE0006351,124726725,UC Berkeley,BERKELEY,CA,13,USA,CA,09,USA,366271.0,Grants,Department of Energy,Department of Energy,81.086,Conservation Research and Development,2014,Prime
2013-11-14,FE6FCE5B-6EEE-758E-2421-9789D621997E,F32GM103238,124726725,UC Berkeley,BERKELEY,CA,9,USA,CA,13,USA,49214.0,Grants,Department of Health and Human Services,National Institutes of Health,93.859,Biomedical Research and Research Training,2014,Prime
2013-11-14,0684BC85-25A5-566F-3719-3B6BDBE1E43D,R01DC012250,9214214,Stanford University,STANFORD,CA,18,USA,CA,18,USA,482404.0,Grants,Department of Health and Human Services,National Institutes of Health,93.17299999999999,Research Related to Deafness and Communication Disorders,2014,Prime
